ID,Exercise,Calories Burn,Dream Weight,Actual Weight,Age,Gender,Duration,Heart Rate,BMI,Weather Conditions,Exercise Intensity,Image,Video,Description
6,Push up,479.7226901,78.88757763,80.59659152,60,Female,41,169,34.71933604,Rainy,10,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-01.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH1E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
12,Push up,376.5526493,95.19628309,97.36896072,35,Female,28,158,34.56511678,Sunny,6,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-02.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH2E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
13,Push up,311.1060239,83.67915156,84.42865874,54,Female,48,173,34.52263692,Rainy,4,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-03.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH3E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
19,Push up,457.6203214,70.2601051,70.75616296,40,Female,23,129,33.2386129,Sunny,2,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-04.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH4E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
23,Push up,187.2145211,70.6800884,69.65255976,54,Female,26,117,30.59981568,Rainy,3,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-05.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH5E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
25,Push up,293.464795,60.08372848,59.86013459,45,Female,36,135,18.74376699,Sunny,7,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-06.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH6E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
33,Push up,261.0427782,87.93811297,90.68068215,57,Female,47,111,30.42326681,Rainy,8,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-07.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH7E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
34,Push up,343.2067297,80.10790122,77.83226162,30,Female,31,170,24.94641272,Sunny,4,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-08.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH8E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
43,Push up,119.4725546,53.20619588,51.17641475,32,Female,37,168,19.43018046,Rainy,9,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-09.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH9E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
54,Push up,217.7570965,77.63226847,81.53358944,25,Female,50,136,33.61687435,Cloudy,7,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-10.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH10E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
64,Push up,170.5211824,65.45832237,67.53030977,26,Male,39,174,34.31000845,Cloudy,2,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-11.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH11E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
68,Push up,111.4136934,71.71853757,74.92635505,50,Male,23,147,21.91606524,Rainy,4,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-12.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH12E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
78,Push up,129.4225026,92.55242138,95.12661104,59,Female,51,176,32.99199182,Sunny,9,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-13.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH13E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
82,Push up,145.4125641,69.8404642,72.72992098,27,Male,42,110,26.67828159,Rainy,10,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-14.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH14E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
83,Push up,305.3738804,97.58691919,102.2311965,56,Female,46,103,22.06029777,Rainy,2,https://static.vecteezy.com/system/resources/thumbnails/000/162/135/small/Free_Push_Up_Vector-15.jpg,https://youtu.be/WDIpL0pjun0?si=mjxtBTYJkH15E-fFn,"The push-up is a classic bodyweight exercise that strengthens the chest, shoulders, triceps, and core muscles. It involves lowering and raising your body by bending and straightening your arms while keeping your body in a straight line from head to heels. Push-ups improve upper body strength, enhance stability, and require no equipment, making them versatile and effective for fitness at any level."
